RAM,Bağlantı Girişleri:,Bluetooth,CihazAgirligi,DokunmatikEkran,EkranBoyutu,GCMT,EkranKartiHafizasi,EkranKartiTipi,EkranKarti,EkranOzelligi,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,IslemciFrekansi,GHz,IslemciModeli,IslemciNesli,IslemciTipi,IslemciCekirdekSayisi,IsletimSistemi,SarJliKullanimSüresi,url,price
4,HDMI,1.0,0.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,120 GB,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//casper/nirvana-c350-4000-4c00e-14-intel-core-celeron-n4000-4gb-ram-120gb-ssd-w10-home-p-35664279?boutiqueId=544519&merchantId=105382,4.499
16,HDMI,0.0,1.0,1.0,14 inç,1.0,2 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,8 GB,,256 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Oyun,https://www.trendyol.com//monster/notebook-huma-h4-v3-1-i7-10510u-8gb-256gb-ssd-2gb-mx-250-14-fullhd-ips-p-34838125?boutiqueId=544519&merchantId=105286,8.199
16,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,6 GB,1.0,1.0,,Distribütör Garantili,,,,1 TB,Aydınlatmalı,Oyun,Yok,,,8 GB,,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Aydınlatmalı,Oyun,https://www.trendyol.com//hp/15-ec0020nt-amd-ryzen-7-3750h-8gb-1tb-256gb-ssd-gtx1660ti-freedos-15-6-fhd-9et67ea-p-35025683?boutiqueId=544519&merchantId=109318,8.829
32,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//lenovo/ideapad3-81wd00fgtx-intel-i5-1035g1-8gb-512gb-ssd-14-fdos-p-49009201?boutiqueId=544254&merchantId=119261,7.099
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,,,4 GB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,4 GB,Q Türkçe,Ofis - İş,https://www.trendyol.com//lenovo/ideapad-ip3-15ada05-amd-3050u-4gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-81w100cktx-p-63672021?boutiqueId=544519&merchantId=203702,4.345
32,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gümüş,512 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,512 GB,Q Türkçe,Ofis - İş,https://www.trendyol.com//huawei/matebook-d-14-amd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-p-40264887?boutiqueId=544519&merchantId=110587,7.999
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,256 GB,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gümüş,256 GB,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,256 GB,Q Türkçe,Ev - Okul,https://www.trendyol.com//asus/x515ja-core-i5-1035g1-1-0ghz-8gb-ram-256gb-ssd-15-6-int-w10-p-66341756?boutiqueId=544254&merchantId=110587,7.799
32,HDMI,0.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,Yok,,IPS,8 GB,Siyah,250 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,https://www.trendyol.com//monster/abra-a5-v16-6-intel-core-i5-10200h-8gb-250-ssd-gtx1650ti-freedos-15-6-fhd-p-59852663?boutiqueId=544519&merchantId=105286,7.599
32,HDMI,1.0,1.0,1.0,"15,6 inç",0.0,Paylaşımlı,0.0,1.0,4K Ultra HD,Distribütör Garantili,,Var,,256 GB,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Siyah,256 GB,,,1366 x 768,4K Ultra HD,Distribütör Garantili,HD Ready,Var,1 TB,256 GB,Q Türkçe,Ev - Okul,https://www.trendyol.com//hp/15-dw2028nt-intel-core-i3-1005g1-4gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-235r0ea-p-51460967?boutiqueId=544519&merchantId=165974,4.699
32,HDMI,1.0,1.0,1.0,14 inç,1.0,4 GB,1.0,1.0,,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,IPS,16 GB,Beyaz,512 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Aydınlatmalı,Ofis - İş,https://www.trendyol.com//hp/pavilion-14-ce3006nt-intel-core-i7-1065g7-16gb-512gb-ssd-mx250-4gb-freedos-14-fhd-3h909ea-p-40149750?boutiqueId=544519&merchantId=107405,8.999
32,HDMI,1.0,1.0,1.0,"15,6 inç",0.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,DVD Yazıcı,,4 GB,Siyah,Yok,,,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/250-g7-197p6ea-uma-i3-1005g1-15-6-4gb-1tb-freedos-p-48357483?boutiqueId=544519&merchantId=221993,4.839
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/15-db1049nt-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-freedos-7dw53ea-p-58873132?boutiqueId=544519&merchantId=121474,5.569
16,HDMI,0.0,1.0,1.0,"15,6 inç",1.0,2 GB,1.0,1.0,HD,Distribütör Garantili,HD Ready,Var,,512 GB,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Beyaz,512 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,512 GB,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/15-da2084nt-intel-core-i5-10210u-8gb-512gb-ssd-mx110-freedos-15-6-hd-1s7y5ea-p-47038290?boutiqueId=544519&merchantId=107405,6.799
32,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,64 GB,Gri,1 TB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//lenovo/l14-20u5001wtx11-ryzen7-4750u-64gb-1tbssd-14-freedos-fullhd-tasinabilir-bilgisayar-p-54655324?boutiqueId=544254&merchantId=106664,10.999
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,,,,,,,,,,,,,,,,,,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/elitebook-830-g6-6xd22ea-i5-8265u-8gb-256gb-ssd-13-3-windows-10-pro-p-41094088?boutiqueId=544254&merchantId=142703,8.545
16,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Oyun,https://www.trendyol.com//lenovo/ideapad-gaming-3-15imh05-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650-freedos-15-6-fhd-81y400datx-p-46156407?boutiqueId=544519&merchantId=105013,8.599
32,HDMI,1.0,1.0,1.0,"15,6 inç",0.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,HD Ready,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gümüş,256 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/15s-fq1002nt-intel-core-i5-1035g1-4gb-256gb-ssd-15-6-windows-10-3l289ea-p-49156717?boutiqueId=544519&merchantId=4367,6.199
32,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,HD Ready,Var,250 GB,250 GB altı,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,250 GB,250 GB altı,Q Türkçe,Ofis - İş,https://www.trendyol.com//acer/swift-3-sf314-42-amd-ryzen-5-4500u-8gb-256gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-nx-hseey-001-p-62445906?boutiqueId=544519&merchantId=106740,5.699
32,HDMI,0.0,0.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,4 GB,Q Türkçe,Ev - Okul,Yok,,TN,4 GB,Gri,256 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,4 GB,Q Türkçe,Ev - Okul,https://www.trendyol.com//asus/asus-x509ja-br089t-intel-core-i3-1005g1-4gb-256gb-ssd-15-6-windows-10-home-tasinabilir-bilgisayar-p-51631707?boutiqueId=544519&merchantId=104683,5.499
32,HDMI,1.0,0.0,1.0,"15,6 inç",0.0,Paylaşımlı,0.0,0.0,Full HD,Distribütör Garantili,,,,4 GB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,4 GB,Q Türkçe,Ofis - İş,https://www.trendyol.com//asus/d509da-br866t-amd-ryzen3-3250u-4gb-256-ssd-uma-15-6-win10-gri-notebook-p-52881953?boutiqueId=544519&merchantId=163794,"4.814,90"
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,,,,,,,,,,,,,,,,,,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/8xe58ea-15-db1066nt-amd-ryzen-5-3500u-8gb-ddr4-2400-256gb-m2-ssd-15-6-windows-10-silver-notebook-p-37284653?boutiqueId=544254&merchantId=121153,5.859
16,HDMI,0.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Oyun,Yok,,IPS,8 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Aydınlatmalı,Oyun,https://www.trendyol.com//lenovo/ip-gaming3-15imh05-81y400lntx-i5-10300h-8g-256g-gtx1650-4g-15-6-dos-p-47383666?boutiqueId=544254&merchantId=105013,8.499
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Siyah,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//i-life-digital/i-life-il-zed-air-cx5-intel-i5-5257u-4gb-256gb-ssd-15-6-win10h-p-58957796?boutiqueId=544519&merchantId=190307,3.999
32,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//lenovo/v14-82c400a8tx-i5-1035g1-8gb-256gb-ssd-14-w10-home-fhd-p-50515347?boutiqueId=544519&merchantId=212395,7.199
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Oyun,Yok,,IPS,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Aydınlatmalı,Oyun,https://www.trendyol.com//acer/nitro-5-intel-core-i5-10300h-16gb-512gb-ssd-gtx1650ti-freedos-15-6-fhd-dizustu-bilgisayar-p-51466218?boutiqueId=544254&merchantId=107007,9.399
32,HDMI,0.0,1.0,1.0,"15,6 inç",1.0,2 GB,1.0,1.0,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Numerik Tuşlu Aydınlatmalı,Tasarım,DVD Yazıcı,DVD Yazıcı,IPS,16 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Numerik Tuşlu Aydınlatmalı,Tasarım,https://www.trendyol.com//hp/laptop-15-intel-i5-1035g1-nvidia-mx330-16gb-256gb-1tb-fhd-ips-p-46714717?boutiqueId=544254&merchantId=107676,7.599
32,HDMI,1.0,0.0,0.0,14 inç,1.0,Paylaşımlı,0.0,1.0,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//toshiba/toshiba-tecra-x40-d-162-i7-7500u-16gb-512gb-ssd-14-touch-win10-pro-dizustu-bilgisayar-p-57587822?boutiqueId=544254&merchantId=112319,15.001
32,HDMI,1.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,4 GB,Siyah,256 GB,,QHD,1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ev - Okul,https://www.trendyol.com//acer/aspire-a315-54k-intel-i3-6006u-4-gb-256gb-ssd-15-6-linux-tasinabilir-bilgisayar-nx-heey-00e-p-55431319?boutiqueId=544519&merchantId=126084,4.799
32,HDMI,1.0,0.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,HD,İthalatçı Garantili,,,,64 GB,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Siyah,Yok,,,1366 x 768,HD,İthalatçı Garantili,HD Ready,Var,1 TB,64 GB,Q Türkçe,Ev - Okul,https://www.trendyol.com//hometech/alfa-800c-n3350-4gb-64gb-windows-10-14-1-p-46781302?boutiqueId=544519&merchantId=140785,3.129
32,HDMI,1.0,1.0,0.0,"13,3 inç",1.0,Paylaşımlı,0.0,1.0,Full HD,İthalatçı Garantili,HD Ready,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,Full HD,İthalatçı Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//hp/elite-dragonfly-i7-8565-13-3-16gb-512ssd-wpro-p-65253112?boutiqueId=544254&merchantId=263256,15.300
32,HDMI,0.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,16 GB,Beyaz,512 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Numerik Tuşlu,Ofis - İş,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-16gb-512gb-ssd-win10-pro-15-6-tasinabilir-bilgisayar-1s7z6eat8-p-63438748?boutiqueId=544254&merchantId=114271,7.849
32,HDMI,0.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,16 GB,Beyaz,512 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Numerik Tuşlu,Ofis - İş,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-16gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-1s7z6eat3-p-64982225?boutiqueId=544254&merchantId=114271,6.849
4,HDMI,1.0,1.0,1.0,14 inç,1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,HD Ready,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gümüş,240 GB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Q Türkçe,Ofis - İş,https://www.trendyol.com//casper/nirvana-c350-5005-4d00x-intel-core-i3-5005u-4gb-ram-240gb-ssd-freedos-p-40404479?boutiqueId=544519&merchantId=110963,4.399
32,HDMI,0.0,1.0,1.0,"15,6 inç",1.0,Paylaşımlı,0.0,1.0,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,32 GB,Beyaz,1 TB,,HD Ready (HD),1366 x 768,HD,Distribütör Garantili,HD Ready,Var,1 TB,Yok,Numerik Tuşlu,Ofis - İş,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-32gb-1tb-ssd-win10-pro-15-6-tasinabilir-bilgisayar-1s7z6eat9-p-64983658?boutiqueId=544254&merchantId=114271,9.899
32,HDMI,1.0,0.0,1.0,"15,6 inç",1.0,4 GB,1.0,1.0,Full HD,Distribütör Garantili,,,1 TB,1 TB,Q Türkçe,Oyun,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,Full HD,Distribütör Garantili,HD Ready,Var,1 TB,1 TB,Q Türkçe,Oyun,https://www.trendyol.com//lenovo/ip-gaming-3-intel-core-i5-10300h-8gb-1tb-256gb-ssd-gtx1650-w10-pro-15-6-81y400datxa29-p-63128913?boutiqueId=544254&merchantId=155616,"11.821,87"
32,HDMI,1.0,1.0,0.0,"13,9 inç",1.0,Paylaşımsız,1.0,1.0,HD,Distribütör Garantili,,Yok,1 TB,1 TB,Q Türkçe,Ev - Okul,Yok,,,16 GB,Gri,1 TB,,,3200 x 1800,HD,Distribütör Garantili,HD Ready,Yok,1 TB,1 TB,Q Türkçe,Ev - Okul,https://www.trendyol.com//huawei/matebook-x-pro-13-9-2020-ultrabook-p-66515107?boutiqueId=543900&merchantId=136280,15.989
